Case 1:
Hole 1: 1, 2

Case 2:
Hole 1: 3, 5
Hole 2: 2, 6
Hole 3: 1, 4

Case 3:
Hole 1: 1, 2

Case 4:
Hole 1: 13, 18
Hole 2: 5, 12
Hole 3: 2, 20
Hole 4: 8, 17
Hole 5: 1, 19
Hole 6: 7, 16
Hole 7: 11, 14
Hole 8: 3, 10
Hole 9: 6, 9
Hole 10: 4, 15

Case 5:
Hole 1: 1, 2

Case 6:
Hole 1: 1, 4
Hole 2: 6, 15
Hole 3: 5, 8
Hole 4: 13, 17
Hole 5: 7, 12
Hole 6: 18, 19
Hole 7: 2, 14
Hole 8: 3, 11
Hole 9: 9, 16
Hole 10: 10, 20

Case 7:
Hole 1: 1, 2

Case 8:
Hole 1: 1, 7
Hole 2: 6, 10
Hole 3: 5, 9
Hole 4: 2, 3
Hole 5: 4, 8

Case 9:
Hole 1: 8, 9
Hole 2: 1, 10
Hole 3: 3, 7
Hole 4: 2, 11
Hole 5: 5, 12
Hole 6: 4, 6

Case 10:
Hole 1: 1, 8
Hole 2: 4, 10
Hole 3: 3, 14
Hole 4: 6, 13
Hole 5: 9, 12
Hole 6: 5, 11
Hole 7: 2, 7

Case 11:
Hole 1: 5, 8
Hole 2: 11, 15
Hole 3: 16, 19
Hole 4: 1, 12
Hole 5: 7, 13
Hole 6: 18, 21
Hole 7: 17, 20
Hole 8: 22, 24
Hole 9: 10, 23
Hole 10: 2, 4
Hole 11: 3, 9
Hole 12: 6, 14

Case 12:
Hole 1: 9, 24
Hole 2: 5, 25
Hole 3: 8, 17
Hole 4: 7, 12
Hole 5: 1, 13
Hole 6: 3, 19
Hole 7: 4, 10
Hole 8: 11, 15
Hole 9: 16, 22
Hole 10: 6, 21
Hole 11: 2, 26
Hole 12: 14, 18
Hole 13: 20, 23

Case 13:
Hole 1: 24, 26
Hole 2: 2, 13
Hole 3: 19, 21
Hole 4: 4, 23
Hole 5: 10, 14
Hole 6: 6, 17
Hole 7: 11, 20
Hole 8: 3, 16
Hole 9: 1, 25
Hole 10: 9, 15
Hole 11: 5, 7
Hole 12: 8, 12
Hole 13: 18, 28
Hole 14: 22, 27

Case 14:
Hole 1: 8, 31
Hole 2: 13, 34
Hole 3: 24, 37
Hole 4: 27, 40
Hole 5: 4, 11
Hole 6: 10, 15
Hole 7: 14, 38
Hole 8: 2, 19
Hole 9: 12, 21
Hole 10: 16, 39
Hole 11: 6, 29
Hole 12: 25, 26
Hole 13: 30, 35
Hole 14: 20, 22
Hole 15: 1, 17
Hole 16: 23, 28
Hole 17: 9, 33
Hole 18: 3, 32
Hole 19: 18, 36
Hole 20: 5, 7

Case 15:
Hole 1: 5, 28
Hole 2: 18, 37
Hole 3: 15, 19
Hole 4: 29, 33
Hole 5: 13, 34
Hole 6: 6, 22
Hole 7: 1, 36
Hole 8: 3, 21
Hole 9: 17, 24
Hole 10: 2, 32
Hole 11: 7, 16
Hole 12: 35, 38
Hole 13: 4, 27
Hole 14: 23, 26
Hole 15: 14, 31
Hole 16: 25, 40
Hole 17: 11, 20
Hole 18: 10, 39
Hole 19: 8, 9
