1 
18.691 6.103 21.668 13.709 21.332 25.894 
59.388 30.873 55.299 36.186 61.45 22.97 
67.828 85.496 60.751 72.752 59.2 67.49 
3 
18.73 4.012 6.662 7.557 14.035 7.478 
14.869 32.398 32.341 31.772 7.522 29.674 
25.272 6.868 4.572 2.014 10.487 16.121 
26.135 53.073 44.18 50.723 40.31 42.91 
86.601 29.95 70.542 17.088 66.77 14.88 
90.344 89.528 92.179 88.665 87.99 82.54 
39.327 62.11 35.033 57.127 18.14 63.89 
37.13 80.202 36.308 75.111 34.28 75.11 
14.043 68.482 15.22 55.423 10.42 75.43 
1
15.11 5.067 29.297 4.174 27.449 22.31
15.11 5.067 27.929 17.595 27.449 22.31
29.297 4.174 27.929 17.595 15.11 5.067
10
15.322 15.585 10.82 28.193 9.768 15.404
25.804 31.266 39.472 11.965 38.441 9.494
43.977 9.435 56.756 5.388 44.65 9.648
66.517 16.419 61.728 15.088 85.71 30.029
89.529 24.507 86.763 25.171 107.962 22.213
14.651 47.396 8.807 43.454 0.094 58.414
26.199 57.811 33.549 53.347 22.632 40.909
44.459 55.314 40.501 48.906 45.482 54.579
77.659 43.504 67.418 51.951 75.399 61.323
103.961 51.298 104.26 56.439 91.234 59.551
107.962 22.213 88.893 24.66 86.763 25.171
44.65 9.648 44.313 9.542 56.756 5.388
44.459 55.314 40.897 49.547 45.482 54.579
104.26 56.439 99.18 57.653 103.961 51.298
25.804 31.266 36.192 16.597 38.441 9.494
75.399 61.323 77.004 48.672 67.418 51.951
14.651 47.396 11.963 45.583 0.094 58.414
61.728 15.088 80.914 27.041 66.517 16.419
67.418 51.951 77.004 48.672 77.659 43.504
45.482 54.579 40.897 49.547 40.501 48.906
33.549 53.347 30.82 50.238 26.199 57.811
38.441 9.494 36.192 16.597 39.472 11.965
10.82 28.193 12.767 15.502 15.322 15.585
26.199 57.811 30.82 50.238 22.632 40.909
103.961 51.298 99.18 57.653 91.234 59.551
0.094 58.414 11.963 45.583 8.807 43.454
66.517 16.419 80.914 27.041 85.71 30.029
9.768 15.404 12.767 15.502 10.82 28.193
89.529 24.507 88.893 24.66 107.962 22.213
56.756 5.388 44.313 9.542 43.977 9.435
1
15.616 32.67 12.964 31.204 20.576 8.361
18.052 46.397 11.076 69.592 10.44 69.24
59.62 42.389 57.604 41.275 64.58 18.08
10
15.652 19.83 12.862 0.988 2.964 18.787
45.58 30.523 36.305 13.602 23.833 13.943
57.887 9.446 76.048 19.831 72.399 2.82
106.871 0.347 87.106 5.798 81.404 17.608
3.16 58.855 22.297 49.57 14.733 48.243
46.132 51.544 30.115 51.668 44.657 54.978
68.703 62.614 68.759 46.831 68.655 46.432
97.839 33.754 78.448 45.862 81.663 49.728
22.138 93.434 28.439 69.386 23.246 70.997
41.276 73.787 51.35 84.776 31.097 91.553
9.782 93.069 20.629 81.676 19.68 75.27
69.768 32.792 69.799 24.111 69.72 16.61
61.419 76.778 63.991 79.871 80.81 64.67
70.388 32.513 68.547 20.077 57.7 31.47
56.631 36.055 54.624 26.699 38.47 25.67
18.395 -0.461 11.66 -0.277 27.67 16.46
58.567 45.405 47.184 47.58 39.43 54.69
28.038 24.156 44.192 25.185 42.55 17.53
31.507 15.701 34.999 20.583 36.7 14.09
29.804 73.439 17.247 77.641 19.73 62.45
51.776 16.116 34.957 31.317 35.6 32.09
54.126 78.273 50.307 81.775 61.69 79.6
50.585 80.731 49.102 83.802 70.35 75.28
63.706 35.411 63.785 42.912 63.81 35.81
97.107 32.04 81.097 15.303 75.36 15.46
61.432 35.147 66.032 17.592 62.54 12.71
87.097 14.019 65.849 22.541 61.63 31.28
42.295 72.876 30.763 72.965 40.82 76.31
90.642 89.27 80.585 85.925 76.1 85.96
23.979 47.494 21.496 62.685 13.8 65.26
1
15.864 30.349 27.153 25.007 18.051 11.881
6.174 69.516 4.975 77.574 18.06 73.35
50.895 33.396 52.644 19.758 46.13 15.42
5
1.443 13.45 11.548 28.038 16.411 5.714
37.248 20.344 22.591 25.157 45.54 18.904
69.519 7.677 52.438 13.734 74.119 17.967
26.988 40.777 17.484 48.284 14.236 33.141
30.76 43.038 37.465 57.767 46.477 53.315
40.684 99.474 50.834 86.201 38.41 76.74
4.671 73.168 7.04 72.957 16.2 83.51
30.659 67.132 41.069 76.453 28.87 79.11
75.318 56.768 88.267 49.958 89.09 48.27
30.882 64.624 35.944 70.228 52.81 61.95
58.81 15.271 41.08 13.295 43.41 14.35
27.73 79.923 29.573 80.991 37.98 66.55
73.341 30.605 64.998 45.304 78.35 39.32
89.769 84.903 90.64 66.135 87.02 66.99
44.043 25.729 43.136 28.12 42.85 34.06
6					
1.505 21.062 23.287 26.489 15.78 14.785
37.725 30.262 48.275 6.648 49.605 19.741
68.239 27.145 52.17 15.478 63.438 7.598
98.242 32.724 74.241 18.471 73.844 6.309
18.084 61.233 21.123 47.811 11.747 52.101
53.761 43.161 38.361 49.912 44.97 60.126
58.169 81.021 43.367 95.479 43.25 86.43
102.161 115.592 85.831 91.442 89.2 82.05
19.809 25.625 30.198 36.396 28.27 43.59
93.781 -3.555 84.233 0.631 84.99 13.41
81.777 20.397 81.304 29.655 82.96 30.64
88.025 25.303 75.441 27.656 78.72 33.14
90.691 19.02 95.236 30.858 80.5 28.25
79.231 39.836 80.03 25.492 70.39 26.99
