6 8
3
0 7 0 0 0 1
1
4 6
1
1 0
10
3 8
5
0 0  1 0  1 1  2 0  2 7
10
10 10
5
6 0  6 1  6 2  7 2  8 1
10
100 100
5
0 0  1 0  1 1  2 0  2 99
500
95 66
5171
25 23 1 53 22 15 64 38 67 62 76 59 51 62 61 6 84 19 21 6
15 39 71 59 79 30 63 60 25 65 25 47 42 9 69 12 55 23 4 18
27 17 75 3 47 35 51 47 38 40 91 1 73 9 51 40 47 11 8 46
51 59 94 59 24 44 10 47 7 2 48 21 18 3 55 10 4 13 93 31
79 61 91 3 86 52 51 28 6 28 58 16 45 28 36 34 62 45 61 48
16 25 21 47 93 36 17 20 71 39 75 33 11 40 93 2 67 17 48 25
5 41 21 12 94 9 49 4 60 14 87 33 63 41 68 37 88 19 29 28
90 60 25 46 62 12 75 28 30 16 61 52 52 23 16 54 25 16 29 13
64 0 1 35 11 28 69 22 8 48 70 7 44 14 27 63 69 10 71 24
38 6 27 20 76 62 1 14 3 14 12 5 30 50 9 4 68 18 39 28
30 35 65 28 65 17 13 43 63 25 90 22 87 1 77 39 26 40 77 53
16 20 48 49 17 49 67 36 88 5 56 19 36 50 7 55 75 8 22 20
29 50 93 47 35 46 81 42 84 56 56 58 36 1 20 54 11 59 70 11
10 37 86 12 64 21 63 59 37 47 14 22 79 41 55 29 3 27 71 29
27 8 19 12 74 47 84 40 62 36 17 22 71 63 13 38 11 23 6 27
32 4 94 27 29 44 42 48 25 40 52 57 2 64 33 1 23 37 78 7
45 55 91 16 25 53 79 46 71 14 80 59 83 42 24 23 4 40 43 33
75 7 90 49 53 25 43 19 49 64 80 7 84 34 5 9 51 34 86 34
39 38 23 64 92 20 61 11 2 5 74 29 18 40 21 54 5 50 67 16
72 65 85 26 35 56 16 46 67 18 29 14 50 44 16 13 11 3 21 36
43 2 3 48 29 17 84 5 81 61 44 6 94 54 67 15 66 54 93 60
89 12 76 29 70 20 7 44 74 54 76 36 94 2 77 13 52 64 60 48
0 60 93 26 25 59 71 49 88 65 44 39 27 64 47 31 34 32 73 30
49 57 17 41 7 51 19 52 62 62 89 20 79 36 71 35 36 55 1 63
71 53 43 23 25 56 47 33 21 53 70 28 42 32 24 38 60 8 23 45
61 8 57 53 32 62 27 24 45 45 25 38 27 57 73 48 25 36 53 58
29 9 66 26 2 28 65 11 85 16 73 18 29 53 28 63 61 24 69 62
44 2 24 59 49 23 84 45 48 48 32 11 81 52 8 36 47 57 86 51
17 63 59 41 79 39 33 45 57 18 75 17 2 9 74 27 81 47 62 15
56 2 93 49 88 22 6 26 47 43 78 13 86 31 59 2 10 7 26 58
75 35 13 4 56 54 31 31 70 58 6 43 26 8 49 9 63 57 84 61
69 58 67 40 47 2 78 11 52 16 19 19 33 20 16 1 85 0 43 5
50 12 65 44 70 27 79 15 65 51 14 61 65 42 2 7 41 27 29 29
34 8 12 2 10 26 20 1 37 44 76 9 81 39 38 62 51 16 52 42
18 24 16 63 87 50 67 20 75 27 27 46 94 29 60 62 74 46 8 50
6 64 64 10 23 1 84 29 60 47 9 55 33 65 7 8 37 3 6 31
57 2 30 65 1 60 45 65 36 31 1 22 53 18 75 52 73 56 55 16
75 42 27 56 24 13 53 7 69 3 92 60 52 13 63 16 16 44 87 62
56 9 12 49 75 51 73 7 19 35 65 1 78 64 14 13 15 28 8 41
19 6 65 35 44 46 51 14 78 14 67 45 61 27 38 47 68 10 70 0
25 43 28 32 50 51 88 20 48 11 12 37 71 34 48 13 59 47 55 25
14 33 83 30 83 24 78 53 52 9 55 42 62 1 28 7 33 33 8 38
31 61 22 14 67 2 22 29 79 14 64 59 33 7 80 33 58 52 21 31
28 10 19 1 12 43 24 11 54 49 23 41 36 18 53 39 62 26 71 27
8 0 40 29 74 1 53 57 48 5 68 20 17 45 57 15 48 31 65 38
92 52 17 6 87 27 80 23 28 57 39 26 86 21 40 9 56 50 92 33
43 11 26 16 65 14 14 30 16 45 94 25 41 65 71 22 23 39 43 62
50 54 51 49 45 54 7 13 56 35 90 47 42 38 15 53 81 46 37 45
17 65 60 28 91 17 64 52 80 60 93 29 47 49 48 16 82 9 44 24
20 32 89 39 74 39 61 32 10 46 71 3 51 38 84 13 84 39 8 63
86 2 92 15 72 41 78 5 80 0 42 12 22 11 56 61 12 47 38 30
61 45 80 40 25 31 23 35 78 3 69 40 5 56 86 0 80 25 37 61
75 58 72 61 68 45 68 11 31 20 40 52 10 48 50 56 66 1 23 49
64 6 12 28 11 8 91 15 39 55 67 50 41 43 25 57 37 30 43 27
69 53 64 65 14 60 73 3 72 59 12 24 12 0 59 28 61 35 55 46
61 22 70 36 82 14 44 13 30 40 90 41 83 33 20 25 29 8 41 29
61 9 11 30 29 40 29 60 63 48 70 42 78 60 54 57 83 37 3 56
75 1 56 49 93 23 70 34 67 34 56 33 92 56 28 64 45 48 5 11
64 25 49 29 45 46 80 64 88 49 78 4 49 24 35 32 25 0 18 60
65 6 5 45 14 63 0 34 84 49 80 36 81 4 10 33 85 11 27 28
3 6 58 2 22 54 57 54 86 47 45 44 75 15 13 65 72 23 25 13
79 64 18 23 13 52 85 15 30 56 66 37 52 34 7 45 26 38 16 0
64 54 52 4 11 53 64 18 5 59 29 38 29 64 45 23 81 63 44 57
42 37 50 26 51 2 31 5 29 4 59 13 77 18 51 56 20 23 67 47
84 14 60 16 88 32 5 43 49 58 8 43 34 40 49 13 29 22 7 21
77 49 81 1 6 32 80 35 67 25 25 34 83 17 20 62 24 61 6 36
41 8 0 40 36 17 49 44 10 50 25 22 4 46 24 33 73 17 67 59
83 27 80 12 4 19 53 3 44 53 79 16 3 29 71 41 52 47 55 14
50 42 42 64 93 45 17 58 11 27 31 36 6 3 11 4 18 44 51 3
85 39 94 57 12 26 36 16 25 25 6 47 70 59 48 51 10 5 31 25
2 0 58 10 56 63 92 7 72 46 67 64 37 31 24 28 51 51 42 47
50 32 32 31 31 21 7 1 23 25 72 43 52 41 1 31 13 49 37 29
49 48 27 42 49 30 72 3 91 0 73 15 31 42 44 29 17 5 55 1
58 19 51 39 83 59 37 6 16 39 43 30 59 15 93 30 71 26 60 21
34 7 65 49 78 49 66 15 68 62 7 63 18 52 16 36 27 44 24 26
56 34 5 8 17 12 38 24 25 5 19 44 15 1 51 0 6 12 73 43
41 64 83 8 58 26 26 10 12 27 17 23 92 10 12 55 59 33 85 52
25 2 29 1 52 45 45 16 31 12 6 54 77 31 75 63 1 17 94 11
0 12 91 11 42 1 54 43 74 17 41 44 2 31 56 43 9 20 34 47
34 6 18 53 30 21 68 30 56 44 69 20 85 60 81 49 13 37 59 23
48 58 17 15 41 2 60 6 13 41 65 64 20 21 62 35 75 26 60 7
67 29 90 16 10 15 91 5 8 35 56 10 55 24 24 16 67 5 5 29
46 21 3 0 80 58 65 48 6 65 58 60 82 57 94 60 3 1 28 48
79 57 20 52 1 55 58 17 31 40 93 10 9 57 89 0 27 26 1 34
2 65 85 31 32 17 74 64 91 57 21 64 60 20 92 27 65 26 80 22
50 6 84 0 36 41 7 28 73 52 53 54 19 13 56 53 92 9 78 45
21 40 83 29 71 36 56 40 8 6 52 3 26 26 44 36 14 28 78 46
70 55 32 23 7 49 88 21 57 41 43 10 86 1 90 3 72 30 54 6
43 38 14 11 65 59 77 45 19 26 28 9 9 42 88 64 53 28 75 24
17 24 39 12 69 7 38 53 14 15 89 33 90 24 1 1 73 53 59 4
15 6 89 31 62 47 90 35 21 9 34 55 80 41 16 12 68 7 51 20
78 54 41 4 16 41 55 36 23 55 84 46 61 21 43 65 44 37 83 38
1 7 56 52 50 49 32 12 44 47 47 60 45 43 77 56 29 27 58 13
93 44 62 13 77 3 35 5 18 49 55 26 90 59 64 20 69 8 23 15
36 36 80 55 62 34 18 8 8 39 7 4 33 36 40 46 30 17 55 0
51 50 8 57 79 7 67 19 11 48 83 61 68 29 48 10 87 44 4 62
34 57 64 37 73 20 87 41 73 35 35 26 7 31 49 61 32 58 74 51
76 14 85 13 51 44 0 0 86 18 73 25 86 59 82 10 59 59 20 49
2 25 36 11 51 21 27 33 12 48 29 51 82 0 76 34 89 27 25 55
41 47 79 43 77 32 38 2 84 3 37 2 42 35 59 58 74 7 61 47
1 3 32 47 4 4 84 62 9 34 1 43 76 52 88 17 28 36 80 43
20 4 42 65 92 41 0 10 28 15 14 26 37 17 74 32 60 25 0 52
54 8 31 45 68 9 67 12 16 49 79 33 40 15 83 3 44 23 16 50
51 60 72 21 40 3 76 43 82 55 76 39 56 51 45 29 33 11 18 39
28 56 24 64 24 34 37 46 29 0 0 7 53 44 5 40 20 27 80 13
56 38 15 5 41 23 35 0 68 35 35 1 82 64 66 6 21 32 33 25
87 64 58 21 20 64 19 45 17 54 50 3 82 29 53 45 33 8 71 28
90 1 58 23 49 35 59 7 50 17 72 17 76 45 58 40 67 49 63 63
24 52 53 31 32 18 9 32 80 18 67 58 84 63 4 6 54 62 16 61
5 32 78 21 2 55 15 34 38 49 85 64 10 8 84 18 59 36 79 55
14 12 81 18 10 14 46 19 61 29 94 40 49 22 89 53 89 38 28 37
32 3 12 19 41 56 55 22 32 7 52 6 46 58 49 11 39 4 79 37
85 7 1 37 63 4 82 3 73 19 35 38 42 10 68 5 60 53 84 30
26 42 7 7 58 31 45 42 48 35 10 58 47 9 47 53 72 38 35 47
44 25 41 57 76 60 93 15 26 13 3 52 33 22 27 2 84 8 88 6
81 57 72 27 27 5 27 30 53 27 6 10 19 57 34 21 71 19 63 65
71 61 25 35 85 18 55 5 21 11 83 14 26 44 69 54 40 1 15 2
55 48 8 21 81 13 81 37 87 34 88 44 91 60 54 14 67 54 25 12
27 53 40 18 76 28 1 65 1 18 78 27 21 7 91 54 85 14 10 63
68 23 37 13 48 41 37 15 72 13 15 61 24 9 77 44 38 18 42 59
91 10 35 42 91 56 11 7 63 31 13 60 49 53 38 38 46 38 54 64
