Case 1: 3 0 0 1 0
Case 2: 0 -1 -1 -1 -1
Case 3: 0 -1 -1 -1 -1
Case 4: 5 3 3 5 4
Case 5: 39 0 58 92 63
Case 6: 0 -1 -1 -1 -1
Case 7: 106 0 26 28 56
Case 8: 0 -1 -1 -1 -1
Case 9: 0 -1 -1 -1 -1
Case 10: 0 -1 -1 -1 -1
Case 11: 82 5 75 30 89
Case 12: 239 2 41 52 61
Case 13: 161 0 23 46 35
Case 14: 78 3 8 38 16
Case 15: 0 -1 -1 -1 -1
Case 16: 0 -1 -1 -1 -1
Case 17: 6232 0 0 99 99
Case 18: 527 0 64 99 74
Case 19: 97 0 6 20 40
Case 20: 420 2 62 83 73
Case 21: 0 -1 -1 -1 -1
Case 22: 192 0 1 37 47
Case 23: 51 6 17 56 25
Case 24: 15 0 1 3 25
Case 25: 113 2 9 81 2
Case 26: 295 1 19 90 52
Case 27: 252 6 31 85 31
Case 28: 589 0 26 74 76
Case 29: 20 28 5 49 2
Case 30: 119 0 11 10 49
Case 31: 0 -1 -1 -1 -1
Case 32: 126 0 11 24 37
Case 33: 38 3 2 86 5
Case 34: 775 0 5 63 99
Case 35: 293 1 4 91 23
Case 36: 6 0 12 16 23
Case 37: 331 1 33 60 78
Case 38: 131 16 4 90 11
Case 39: 460 0 3 95 51
Case 40: 36 1 12 18 24
Case 41: 50 1 16 49 17
Case 42: 125 0 17 26 75
Case 43: 0 -1 -1 -1 -1
Case 44: 102 1 0 65 8
Case 45: 0 -1 -1 -1 -1
Case 46: 238 0 1 97 20
Case 47: 0 -1 -1 -1 -1
Case 48: 242 0 0 22 44
Case 49: 0 -1 -1 -1 -1
Case 50: 38 1 8 18 8
Case 51: 146 9 49 88 3
Case 52: 109 0 4 16 55
Case 53: 42 0 4 32 30
Case 54: 0 -1 -1 -1 -1
Case 55: 0 -1 -1 -1 -1
Case 56: 41 0 10 6 91
Case 57: 26 3 0 69 17
Case 58: 292 0 16 66 4
Case 59: 0 -1 -1 -1 -1
Case 60: 19 1 52 10 33
Case 61: 66 0 28 17 58
Case 62: 0 -1 -1 -1 -1
Case 63: 0 -1 -1 -1 -1
Case 64: 0 -1 -1 -1 -1
Case 65: 23 6 12 55 6
Case 66: 173 2 41 43 94
Case 67: 66 6 47 48 41
Case 68: 279 1 7 65 25
Case 69: 6 0 8 1 23
Case 70: 164 0 35 74 12
Case 71: 4 21 3 22 4
Case 72: 29 28 20 67 14
Case 73: 0 -1 -1 -1 -1
Case 74: 804 0 0 78 70
Case 75: 0 -1 -1 -1 -1
Case 76: 850 0 1 98 69
Case 77: 3 19 21 19 23
Case 78: 49 23 35 77 6
Case 79: 7 0 1 2 5
Case 80: 0 -1 -1 -1 -1
Case 81: 230 0 0 2 99
Case 82: 0 -1 -1 -1 -1
Case 83: 461 0 0 99 5
Case 84: 192 0 0 97 5
Case 85: 2045 0 3 99 92
Case 86: 301 0 18 99 97
