4 2 4
1 1
2 1
3 4
6 2
1 2
1 6
S 0 4 2 4
W 4 2 4 0
N 6 4 7 4
S 6 5 7 5
1 0 2
20 20
W 30 10 30 30
N 25 20 27 20
20 0 4
15 15
15 16
16 16
16 15
5 15
5 16
6 16
6 15
15 5
15 6
16 6
16 5
15 25
15 26
16 26
16 25
25 15
25 16
26 16
26 15
N 10 10 19 10
W 20 10 20 19
S 20 20 11 20
E 10 20 10 11
20 0 4
15 15
15 16
16 16
16 15
5 15
5 16
6 16
6 15
15 5
15 6
16 6
16 5
15 25
15 26
16 26
6 25
25 15
25 16
26 16
26 15
S 10 10 19 10
E 20 10 20 19
N 20 20 11 20
W 10 20 10 11
11 0 4
1 1
11 11
21 21
31 31
41 41
50 50
59 59
69 69
79 79
89 89
99 99
N 0 0 99 0
W 100 0 100 99
S 100 100 1 100
E 0 100 0 1
12 0 4
0 25
0 50
0 75
25 100
50 100
75 100
100 75
100 50
100 25
75 0
50 0
25 0
S 10 10 89 10
E 90 10 90 89
N 90 90 11 90
W 10 90 10 11
13 12 4
15 17
14 16
15 16
16 16
13 15
14 15
15 15
16 15
17 15
14 14
15 14
16 14
15 13
15 18
16 17
17 16
18 15
17 14
16 13
15 12
14 13
13 14
12 15
13 16
14 17
N 10 10 89 10
W 90 10 90 89
S 90 90 11 90
E 10 90 10 11
15 0 4
10 10
15 10
20 10
25 10
10 15
15 15
20 15
25 15
10 20
15 20
20 20
25 20
15 25
20 25
25 25
N 15 5 20 5
S 20 30 25 30
E 5 10 5 15
W 30 15 30 20
12 0 4
0 9
0 10
0 11
9 25
10 25
11 25
25 16
25 15
25 14
16 0
15 0
14 0
N 5 10 14 10
S 11 15 20 15
E 10 11 10 20
W 15 5 15 14
8 0 4
10 5
20 5
5 10
10 10
20 10
5 20
10 20
20 20
N 10 0 10 0
E 0 20 0 20
S 20 30 20 30
W 30 10 30 10
1 0 200
50 50
S 0 100 100 100
S 1 99 99 99
S 2 98 98 98
S 3 97 97 97
S 4 96 96 96
S 5 95 95 95
S 6 94 94 94
S 7 93 93 93
S 8 92 92 92
S 9 91 91 91
S 10 90 90 90
S 11 89 89 89
S 12 88 88 88
S 13 87 87 87
S 14 86 86 86
S 15 85 85 85
S 16 84 84 84
S 17 83 83 83
S 18 82 82 82
S 19 81 81 81
S 20 80 80 80
S 21 79 79 79
S 22 78 78 78
S 23 77 77 77
S 24 76 76 76
S 25 75 75 75
S 26 74 74 74
S 27 73 73 73
S 28 72 72 72
S 29 71 71 71
S 30 70 70 70
S 31 69 69 69
S 32 68 68 68
S 33 67 67 67
S 34 66 66 66
S 35 65 65 65
S 36 64 64 64
S 37 63 63 63
S 38 62 62 62
S 39 61 61 61
S 40 60 60 60
S 41 59 59 59
S 42 58 58 58
S 43 57 57 57
S 44 56 56 56
S 45 55 55 55
S 46 54 54 54
S 47 53 53 53
S 48 52 52 52
N 49 51 51 51
N 0 0 100 0
N 1 1 99 1
N 2 2 98 2
N 3 3 97 3
N 4 4 96 4
N 5 5 95 5
N 6 6 94 6
N 7 7 93 7
N 8 8 92 8
N 9 9 91 9
N 10 10 90 10
N 11 11 89 11
N 12 12 88 12
N 13 13 87 13
N 14 14 86 14
N 15 15 85 15
N 16 16 84 16
N 17 17 83 17
N 18 18 82 18
N 19 19 81 19
N 20 20 80 20
N 21 21 79 21
N 22 22 78 22
N 23 23 77 23
N 24 24 76 24
N 25 25 75 25
N 26 26 74 26
N 27 27 73 27
N 28 28 72 28
N 29 29 71 29
N 30 30 70 30
N 31 31 69 31
N 32 32 68 32
N 33 33 67 33
N 34 34 66 34
N 35 35 65 35
N 36 36 64 36
N 37 37 63 37
N 38 38 62 38
N 39 39 61 39
N 40 40 60 40
N 41 41 59 41
N 42 42 58 42
N 43 43 57 43
N 44 44 56 44
N 45 45 55 45
N 46 46 54 46
N 47 47 53 47
N 48 48 52 48
S 49 49 51 49
E 0 1 0 99
E 1 2 1 98
E 2 3 2 97
E 3 4 3 96
E 4 5 4 95
E 5 6 5 94
E 6 7 6 93
E 7 8 7 92
E 8 9 8 91
E 9 10 9 90
E 10 11 10 89
E 11 12 11 88
E 12 13 12 87
E 13 14 13 86
E 14 15 14 85
E 15 16 15 84
E 16 17 16 83
E 17 18 17 82
E 18 19 18 81
E 19 20 19 80
E 20 21 20 79
E 21 22 21 78
E 22 23 22 77
E 23 24 23 76
E 24 25 24 75
E 25 26 25 74
E 26 27 26 73
E 27 28 27 72
E 28 29 28 71
E 29 30 29 70
E 30 31 30 69
E 31 32 31 68
E 32 33 32 67
E 33 34 33 66
E 34 35 34 65
E 35 36 35 64
E 36 37 36 63
E 37 38 37 62
E 38 39 38 61
E 39 40 39 60
E 40 41 40 59
E 41 42 41 58
E 42 43 42 57
E 43 44 43 56
